,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependants,own_telephone,foreign_worker,class
0,<0,6,critical/order existing credit,radio/tv,1169,no known savings,>=7,4,male single,none,4,real estate,67,stores,own,2,skilled,1,yes,yes,good
1,0<=X<200,48,existing paid,radio/tv,5951,<100,1<=X<4,2,female div/dep/mar,none,2,real estate,22,stores,own,1,skilled,1,none,yes,bad
2,no checking,12,critical/order existing credit,education,2096,<100,4<=X<7,2,male single,none,3,real estate,49,stores,own,1,unskilled resident,2,none,yes,good
3,<0,42,existing paid,furniture/equipment,7882,<100,4<=X<7,2,male single,guarantor,4,life insurance,45,stores,for free,1,skilled,2,none,yes,good
4,<0,24,delayed previously,new car,4870,<100,1<=X<4,3,male single,none,4,no known property,53,stores,for free,2,skilled,2,none,yes,bad
5,no checking,36,existing paid,education,9055,no known savings,1<=X<4,2,male single,none,4,no known property,35,stores,for free,1,unskilled resident,2,yes,yes,good
6,no checking,24,existing paid,furniture/equipment,2835,500<=X<10000,>=7,3,male single,none,4,life insurance,53,stores,own,1,skilled,1,none,yes,good
7,0<=X<200,36,existing paid,used car,6948,<100,1<=X<4,2,male single,none,2,car,35,stores,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
8,no checking,12,existing paid,radio/tv,3059,>=1000,4<=X<7,2,male div/sep,none,4,real estate,61,stores,own,1,unskilled resident,1,none,yes,good
9,0<=X<200,30,critical/order existing credit,new car,5234,<100,unemployed,4,male mar/wid,none,2,car,28,stores,own,2,high qualif/self emp/mgmt,1,none,yes,bad
10,0<=X<200,12,existing paid,new car,1295,<100,<1,3,female div/dep/mar,none,1,car,25,stores,rent,1,skilled,1,none,yes,bad
11,<0,48,existing paid,business,4308,<100,<1,3,female div/dep/mar,none,4,life insurance,24,stores,rent,1,skilled,1,none,yes,bad
12,0<=X<200,12,existing paid,radio/tv,1567,<100,1<=X<4,1,female div/dep/mar,none,1,car,22,stores,own,1,skilled,1,yes,yes,good
13,<0,24,critical/order existing credit,new car,1199,<100,>=7,4,male single,none,4,car,60,stores,own,2,unskilled resident,1,none,yes,bad
